date,open,high,low,close,SMA5,SMA10,SMA20,SMA60,SMA120,SMA240,volume,MA5,MA10,DIF12-26,MACD9,OSC,"K(9,3)","D(9,3)",net buy sell,cumulative net buy sell,buy,sell
1998/6/1,7860.05,7860.05,7574.51,7606.25,7976.13,8135.27,8180.09,8604.63,8526.29,8641.46,996.98,1048.5,1081.97,-148.89,-121.46,-27.43,0.18,0.3255,638000000,638000000,4040000000,3400000000
1998/6/2,7671.21,7671.21,7523.5,7565.64,7853.58,8078.21,8142.09,8579.79,8519.78,8633.1,1059.64,1012.18,1099.96,-179.35,-133.04,-46.31,0.1357,0.2623,-4010000000,-3370000000,3760000000,7760000000
1998/6/3,7631.98,7699.48,7598.16,7643.2,7768.59,8015.78,8109.73,8556.09,8514.68,8624.62,927.95,991.98,1073.47,-196.02,-145.63,-50.39,0.1351,0.2199,-184000000,-3550000000,2300000000,2490000000
1998/6/4,7563.63,7563.63,7389.8,7425.96,7628.88,7921.45,8070.49,8529.1,8509.13,8614.94,937.58,995.08,1050.01,-222.38,-160.98,-61.4,0.1018,0.1805,-153000000,-3710000000,1350000000,1500000000
1998/6/5,7582.11,7585.29,7418.93,7505.58,7549.33,7833.51,8026.82,8504.98,8503.72,8605.24,1120.87,1008.6,1049.97,-236.31,-176.05,-60.26,0.1103,0.1571,-1740000000,-5440000000,813000000,2550000000
1998/6/6,7527.15,7636.73,7472.45,7636.73,7555.42,7765.78,7994.74,8484.6,8499.83,8597.27,1064.3,1022.07,1035.29,-237.2,-188.28,-48.92,0.1814,0.1652,-438000000,-5880000000,800000000,1240000000
1998/6/8,7601.31,7645.39,7560.79,7591.27,7560.55,7707.06,7964.16,8462.72,8496.1,8589.81,989.1,1007.96,1010.07,-235.08,-197.64,-37.44,0.2096,0.18,121000000,-5760000000,1600000000,1480000000
1998/6/9,7607.58,7607.58,7455.63,7455.63,7523.03,7645.81,7927.26,8439.38,8490.94,8580.74,956.44,1013.66,1002.82,-239,-205.91,-33.09,0.1698,0.1766,-518000000,-6280000000,1130000000,1640000000
1998/6/10,7377.05,7422.65,7223.13,7223.13,7482.47,7555.67,7880.05,8413.81,8483.36,8569.97,1032.69,1032.68,1013.88,-256.95,-216.12,-40.83,0.1132,0.1555,-1640000000,-7920000000,1400000000,3040000000
1998/6/11,7073.22,7238.92,7073.22,7210.74,7423.5,7486.41,7837.28,8387.2,8475.91,8558.89,983.22,1005.15,1006.88,-275.23,-227.94,-47.29,0.1487,0.1532,-1790000000,-9710000000,666000000,2450000000
1998/6/12,7121.86,7199.48,7099.54,7117.11,7319.58,7437.5,7786.39,8355.14,8467.92,8547.2,985.87,989.46,1005.77,-290.41,-240.43,-49.97,0.1225,0.143,-784000000,-10500000000,1750000000,2530000000
1998/6/15,7166.96,7283.83,7111.76,7283.83,7258.09,7409.32,7743.76,8326.3,8460.73,8536.33,900.19,971.68,989.82,-290.42,-250.43,-39.99,0.2043,0.1634,-692000000,-11200000000,1630000000,2330000000
1998/6/16,7174.73,7444.06,7170.76,7404.27,7247.82,7385.43,7700.6,8298.11,8454.21,8525.75,1190.36,1018.47,1016.06,-277.94,-255.93,-22.01,0.3291,0.2186,-1220000000,-12400000000,1440000000,2660000000
1998/6/17,7486.54,7548,7445.92,7466.38,7296.47,7389.47,7655.46,8271.07,8448.44,8514.92,1291.79,1070.29,1051.48,-254.96,-255.74,0.78,0.4484,0.2952,-964000000,-13400000000,1160000000,2130000000
1998/6/18,7658.35,7771.76,7633.72,7768.31,7407.98,7415.74,7624.63,8249.02,8446.27,8505.61,1492.13,1172.07,1088.61,-213.79,-247.35,33.55,0.6306,0.407,688000000,-12700000000,2420000000,1730000000
1998/6/19,7732.28,7815.11,7700.23,7754.43,7535.44,7427.51,7596.64,8227.57,8444.5,8496.05,1453.35,1265.56,1127.51,-177.47,-233.37,55.9,0.7265,0.5135,-391000000,-13100000000,1540000000,1930000000
1998/6/20,7802.35,7898.66,7780.84,7817.27,7642.13,7450.11,7578.59,8207.64,8444.35,8486.69,1462.91,1378.11,1174.89,-141.21,-214.94,73.73,0.7848,0.604,513000000,-12600000000,1280000000,765000000
1998/6/22,7867.41,7867.41,7678.7,7692.91,7699.86,7473.84,7559.82,8183.62,8443.64,8477.41,1201.06,1380.25,1199.36,-118.81,-195.71,76.9,0.7734,0.6605,-1570000000,-14100000000,1380000000,2940000000
1998/6/23,7729.91,7729.91,7598.27,7633.36,7733.26,7514.86,7535.27,8156.85,8442.77,8468.12,956.38,1313.16,1191.73,-106.63,-177.9,71.27,0.7383,0.6864,-2110000000,-16200000000,1070000000,3180000000
1998/6/24,7733.71,7783.99,7670.71,7670.71,7713.74,7560.86,7523.64,8130.25,8445.24,8459.08,1261.48,1267.03,1219.55,-91.86,-160.69,68.83,0.729,0.7006,-382000000,-16600000000,2460000000,2840000000
1998/6/25,7762.32,7777.29,7695.74,7722.64,7707.38,7621.41,7529.46,8104.57,8446.98,8449.91,1144.7,1205.3,1235.43,-76.8,-143.91,67.11,0.7387,0.7133,880000000,-15700000000,2330000000,1450000000
1998/6/26,7717.37,7771.65,7656.13,7681.96,7680.32,7661.22,7535.27,8081.1,8446.01,8440.28,1179.82,1148.69,1263.4,-66.66,-128.46,61.81,0.6663,0.6976,193000000,-15600000000,2990000000,2790000000
1998/6/29,7679.68,7679.68,7535.26,7535.73,7648.88,7674.37,7529.9,8055.79,8444.05,8430.44,998.06,1108.09,1244.17,-68.02,-116.37,48.35,0.4446,0.6133,1670000000,-13900000000,3410000000,1750000000
1998/6/30,7606.15,7606.15,7517.33,7548.81,7631.97,7682.61,7536.04,8033.89,8441.97,8421.03,909.45,1098.7,1205.93,-69.62,-107.02,37.4,0.3239,0.5168,-307000000,-14200000000,1580000000,1890000000
1998/7/2,7654.01,7823.24,7647.71,7817.11,7661.25,7687.49,7551.62,8018.1,8441.32,8413.78,1151.68,1076.74,1171.89,-52.45,-96.11,43.66,0.478,0.5039,1200000000,-13000000000,2500000000,1300000000
1998/7/3,7797.92,7872.24,7758.63,7758.63,7668.45,7687.91,7557.71,8000.62,8440.57,8405.97,1230.37,1093.88,1149.59,-37.54,-84.4,46.85,0.5453,0.5177,-892000000,-13900000000,1450000000,2340000000
1998/7/4,7796.49,7876.24,7745.66,7876.24,7707.3,7693.81,7571.96,7985.55,8440.31,8398.08,1144.57,1086.83,1117.76,-20.92,-71.7,50.78,0.6969,0.5774,233000000,-13700000000,1040000000,808000000
1998/7/6,7949.12,7974.27,7894.85,7894.85,7779.13,7714,7593.92,7973.48,8438.61,8390.53,1259.57,1139.13,1123.61,-1.99,-57.76,55.77,0.74,0.6316,322000000,-13300000000,1770000000,1450000000
1998/7/7,7947.53,7947.53,7829.87,7845.97,7838.56,7735.27,7625.06,7958.81,8436.62,8382.75,1012.62,1159.76,1129.23,9.09,-44.39,53.48,0.7331,0.6654,478000000,-12900000000,2540000000,2060000000
1998/7/8,7908,7938.98,7887.81,7936.82,7862.5,7761.88,7661.37,7949.28,8432.72,8374.76,1163.77,1162.18,1119.46,22.27,-31.06,53.33,0.7947,0.7085,840000000,-12000000000,2430000000,1590000000
1998/7/9,8044.96,8079.74,7947.53,7947.53,7900.28,7784.37,7702.89,7941.07,8427.99,8366.1,1503.6,1216.83,1155.35,36.77,-17.49,54.26,0.7848,0.7339,-1130000000,-13100000000,1360000000,2490000000
1998/7/10,7925.25,7927.82,7839.8,7883.16,7901.67,7804.49,7732.85,7928.51,8423.1,8357.2,1004.53,1188.82,1137.82,39.97,-6,45.97,0.74,0.736,214000000,-12900000000,2100000000,1890000000
1998/7/13,7818.36,7869.63,7803.56,7815.53,7885.8,7832.47,7753.42,7915.21,8416.38,8348.24,781.02,1093.11,1116.12,37.44,2.69,34.75,0.6228,0.6983,-814000000,-13700000000,1300000000,2120000000
1998/7/14,7888.11,7895.46,7789.22,7789.22,7874.45,7856.51,7769.56,7901.09,8410.09,8338.98,955.63,1081.71,1120.74,34.21,8.99,25.21,0.4587,0.6184,203000000,-13500000000,2010000000,1810000000
1998/7/15,7853.73,7875.91,7832.17,7875.91,7862.27,7862.39,7774.94,7891.16,8403.36,8329.64,937.97,1036.55,1099.37,35.21,14.24,20.97,0.4357,0.5575,-524000000,-14100000000,1830000000,2350000000
1998/7/16,7933.77,7949.51,7904.77,7924.84,7857.73,7879.01,7783.46,7882.67,8397.44,8320.79,1293.22,994.47,1105.65,40.46,19.48,20.98,0.4461,0.5204,310000000,-13800000000,2360000000,2050000000
1998/7/17,8013.24,8040.15,7985.8,8032.86,7887.67,7894.67,7794.24,7877.41,8392.99,8313.31,1382.68,1070.1,1129.46,51.85,25.95,25.89,0.5769,0.5392,1400000000,-12400000000,3520000000,2120000000
1998/7/18,8091.3,8116.57,8019.26,8039.8,7932.53,7909.16,7811.58,7873,8387.37,8306.15,1430.31,1199.96,1146.54,62.65,33.29,29.35,0.6398,0.5728,173000000,-12200000000,896000000,723000000
1998/7/20,8075.86,8075.86,8014.7,8047.67,7984.22,7929.33,7832.3,7868.91,8381.1,8300.08,850.39,1178.91,1130.31,69.8,40.59,29.21,0.6897,0.6117,395000000,-11800000000,1840000000,1440000000
1998/7/21,8076.58,8092.44,7949.2,7949.2,7998.87,7930.57,7846.22,7862.05,8374.79,8294.82,1017.59,1194.84,1115.69,69.71,46.42,23.29,0.6227,0.6154,505000000,-11300000000,2460000000,1960000000
1998/7/22,7872.9,7881.06,7794.08,7881.06,7990.12,7923.93,7854.15,7854.56,8367.9,8288.24,1037.23,1143.64,1069.06,58.82,48.9,9.92,0.5087,0.5798,-492000000,-11800000000,1860000000,2350000000
1998/7/23,7866.39,7934.58,7860.21,7879.89,7959.52,7923.6,7864.04,7847.13,8360.38,8282.96,866.74,1040.45,1055.28,51.95,49.51,2.44,0.4314,0.5304,-894000000,-12700000000,1060000000,1950000000
1998/7/24,7813.79,7902.4,7812.58,7902.4,7932.04,7932.29,7882.38,7840.67,8352.59,8277.17,1083.22,971.03,1085.5,45.29,48.66,-3.38,0.3996,0.4868,-782000000,-13500000000,1950000000,2730000000
1998/7/27,7935.31,7935.31,7882.47,7890.3,7900.57,7942.39,7899.45,7835.33,8343.52,8270.96,1069.98,1014.95,1096.93,41.12,47.16,-6.04,0.3658,0.4465,918000000,-12500000000,2150000000,1230000000
1998/7/28,7941.38,7950.84,7823.89,7830.14,7876.76,7937.82,7900.1,7826.18,8333.46,8265.46,1273.98,1066.23,1130.53,34.12,44.55,-10.42,0.2812,0.3914,319000000,-12200000000,3090000000,2770000000
1998/7/29,7818.18,7842.12,7761.88,7775.33,7855.61,7922.87,7900.94,7817.8,8322.51,8260.03,888.82,1036.55,1090.09,22.67,40.17,-17.51,0.2001,0.3276,-172000000,-12400000000,1140000000,1310000000
1998/7/30,7808.85,7808.85,7725.73,7730.43,7825.72,7892.62,7893.65,7809.92,8310.71,8254.13,824.84,1028.17,1034.31,10.25,34.19,-23.94,0.1377,0.2643,-606000000,-13000000000,1300000000,1910000000
1998/7/31,7792.23,7797.93,7653.31,7653.51,7775.94,7853.99,7881.58,7800.92,8298.93,8248.04,891.56,989.84,980.43,-4.32,26.49,-30.81,0.0919,0.2068,95000000,-12900000000,1570000000,1470000000
1998/8/1,7580.16,7622.68,7561.22,7622.68,7722.42,7811.49,7870.41,7791.84,8287.23,8241.65,718.41,919.52,967.24,-22.25,16.74,-38.99,0.1139,0.1758,-760000000,-13700000000,302000000,1060000000
1998/8/3,7715.8,7715.8,7591.98,7599.04,7676.2,7776.48,7853.53,7784.06,8273.65,8235.43,792.55,823.24,944.73,-34.51,6.49,-41,0.1083,0.1533,-326000000,-14000000000,1020000000,1340000000
1998/8/4,7573.03,7639.42,7573.03,7593.14,7639.76,7747.69,7835.81,7775.03,8260.23,8229.85,852.36,815.94,926.25,-45.86,-3.98,-41.88,0.0995,0.1354,-224000000,-14200000000,1260000000,1480000000
1998/8/5,7524.83,7543.28,7482.82,7499.73,7593.62,7709.67,7816.63,7764.42,8245.42,8223.23,891.9,829.36,928.76,-61.68,-15.52,-46.16,0.0784,0.1164,-307000000,-14500000000,1210000000,1520000000
